Region,Region name,Year,Category,Symbol,Value,Label,Unit
BE,Belgium,2009,Pulses,B,0.3535041536000001,Symbiotic fixation,Gg N
BE,Belgium,2009,Temporary grassland,B,5.297939683721549,Symbiotic fixation,Gg N
BE,Belgium,2010,Forage legumes,B,2.1515424264425,Symbiotic fixation,Gg N
BE,Belgium,2010,Other forage crops,B,0.23383856801835792,Symbiotic fixation,Gg N
BE,Belgium,2010,Pulses,B,0.34379904,Symbiotic fixation,Gg N
BE,Belgium,2010,Temporary grassland,B,5.303719942522377,Symbiotic fixation,Gg N
BE,Belgium,2011,Forage legumes,B,2.0395191402582604,Symbiotic fixation,Gg N
BE,Belgium,2011,Other forage crops,B,0.34186417736264574,Symbiotic fixation,Gg N
BE,Belgium,2011,Pulses,B,0.2863410090666667,Symbiotic fixation,Gg N
BE,Belgium,2011,Temporary grassland,B,5.397960327160061,Symbiotic fixation,Gg N
BE,Belgium,2012,Forage legumes,B,1.9262471175921734,Symbiotic fixation,Gg N
BE,Belgium,2012,Other forage crops,B,0.30923957566509375,Symbiotic fixation,Gg N
BE,Belgium,2012,Pulses,B,0.21920185386666668,Symbiotic fixation,Gg N
BE,Belgium,2012,Temporary grassland,B,4.81429059556379,Symbiotic fixation,Gg N
BE,Belgium,2013,Forage legumes,B,1.811726358444239,Symbiotic fixation,Gg N
BE,Belgium,2013,Other forage crops,B,0.32806813568735116,Symbiotic fixation,Gg N
BE,Belgium,2013,Pulses,B,0.1842103466666667,Symbiotic fixation,Gg N
BE,Belgium,2013,Temporary grassland,B,4.797887619261736,Symbiotic fixation,Gg N
