,region,region name,year,symbol,label,unit,value
603,DE1,Baden-Würtenberg,1991,urb_typ,urban typology,no unit,
604,DE1,Baden-Würtenberg,1992,typ,metabolic typology,no unit,DSG
605,DE1,Baden-Würtenberg,1992,urb_typ,urban typology,no unit,
606,DE1,Baden-Würtenberg,1993,typ,metabolic typology,no unit,DSG
607,DE1,Baden-Würtenberg,1993,urb_typ,urban typology,no unit,
608,DE1,Baden-Würtenberg,1994,typ,metabolic typology,no unit,DSG
609,DE1,Baden-Würtenberg,1994,urb_typ,urban typology,no unit,
610,DE1,Baden-Würtenberg,1995,typ,metabolic typology,no unit,DSG
611,DE1,Baden-Würtenberg,1995,urb_typ,urban typology,no unit,
612,DE1,Baden-Würtenberg,1996,typ,metabolic typology,no unit,DSG
613,DE1,Baden-Würtenberg,1996,urb_typ,urban typology,no unit,
614,DE1,Baden-Würtenberg,1997,typ,metabolic typology,no unit,DSG
615,DE1,Baden-Würtenberg,1997,urb_typ,urban typology,no unit,
616,DE1,Baden-Würtenberg,1998,typ,metabolic typology,no unit,DSG
617,DE1,Baden-Würtenberg,1998,urb_typ,urban typology,no unit,
618,DE1,Baden-Würtenberg,1999,typ,metabolic typology,no unit,DSG
619,DE1,Baden-Würtenberg,1999,urb_typ,urban typology,no unit,
620,DE1,Baden-Würtenberg,2000,typ,metabolic typology,no unit,DSG
621,DE1,Baden-Würtenberg,2000,urb_typ,urban typology,no unit,
622,DE1,Baden-Würtenberg,2001,typ,metabolic typology,no unit,DSG
623,DE1,Baden-Würtenberg,2001,urb_typ,urban typology,no unit,
624,DE1,Baden-Würtenberg,2002,typ,metabolic typology,no unit,DSG
625,DE1,Baden-Würtenberg,2002,urb_typ,urban typology,no unit,
626,DE1,Baden-Würtenberg,2003,typ,metabolic typology,no unit,DSG
627,DE1,Baden-Würtenberg,2003,urb_typ,urban typology,no unit,
628,DE1,Baden-Würtenberg,2004,typ,metabolic typology,no unit,DSG
629,DE1,Baden-Würtenberg,2004,urb_typ,urban typology,no unit,
630,DE1,Baden-Würtenberg,2005,typ,metabolic typology,no unit,DSG
631,DE1,Baden-Würtenberg,2005,urb_typ,urban typology,no unit,
632,DE1,Baden-Würtenberg,2006,typ,metabolic typology,no unit,MXF
633,DE1,Baden-Würtenberg,2006,urb_typ,urban typology,no unit,
634,DE1,Baden-Würtenberg,2007,typ,metabolic typology,no unit,MXF
635,DE1,Baden-Würtenberg,2007,urb_typ,urban typology,no unit,
636,DE1,Baden-Würtenberg,2008,typ,metabolic typology,no unit,MXF
637,DE1,Baden-Würtenberg,2008,urb_typ,urban typology,no unit,
638,DE1,Baden-Würtenberg,2009,typ,metabolic typology,no unit,MXF
639,DE1,Baden-Würtenberg,2009,urb_typ,urban typology,no unit,
640,DE1,Baden-Würtenberg,2010,typ,metabolic typology,no unit,MXF
641,DE1,Baden-Würtenberg,2010,urb_typ,urban typology,no unit,
642,DE1,Baden-Würtenberg,2011,typ,metabolic typology,no unit,MXF
643,DE1,Baden-Würtenberg,2011,urb_typ,urban typology,no unit,
644,DE1,Baden-Würtenberg,2012,typ,metabolic typology,no unit,MXF
645,DE1,Baden-Würtenberg,2012,urb_typ,urban typology,no unit,
646,DE1,Baden-Würtenberg,2013,typ,metabolic typology,no unit,MXF
647,DE1,Baden-Würtenberg,2013,urb_typ,urban typology,no unit,
648,DE1,Baden-Würtenberg,2014,typ,metabolic typology,no unit,MXF
649,DE1,Baden-Würtenberg,2014,urb_typ,urban typology,no unit,
650,DE1,Baden-Würtenberg,2015,typ,metabolic typology,no unit,MXF
651,DE1,Baden-Würtenberg,2015,urb_typ,urban typology,no unit,
652,DE1,Baden-Würtenberg,2016,typ,metabolic typology,no unit,MXF
653,DE1,Baden-Würtenberg,2016,urb_typ,urban typology,no unit,
654,DE1,Baden-Würtenberg,2017,typ,metabolic typology,no unit,MXF
655,DE1,Baden-Würtenberg,2017,urb_typ,urban typology,no unit,
656,DE1,Baden-Würtenberg,2018,typ,metabolic typology,no unit,MXF
657,DE1,Baden-Würtenberg,2018,urb_typ,urban typology,no unit,
